代號,名稱,EPS(元),合計股利,除權息合計殖利率,備註
6806,森崴能源,-60.0,1.227,2.02,負EPS移除
3712,永崴投控,-22.85,3.0,5.67,負EPS移除
6128,上福,-9.56,2.5,7.04,負EPS移除
3032,偉訓,-7.93,2.726,2.38,負EPS移除
7723,築間,-6.69,2.0,2.89,負EPS移除
2392,正崴,-6.62,2.5,4.31,負EPS移除
4120,友華,-6.54,1.0,1.77,負EPS移除
2616,山隆,-6.25,0.3,2.01,負EPS移除
1583,程泰,-4.83,3.027,5.48,負EPS移除
3545,敦泰,-4.64,1.736,2.56,負EPS移除
6869,雲豹能源,-4.2,5.005,3.58,負EPS移除
8431,匯鑽科,-3.88,1.123,2.27,負EPS移除
3714,富采,-3.69,0.9,2.47,負EPS移除
2923,鼎固-KY,-3.62,0.24,1.06,負EPS移除
1598,岱宇,-3.35,0.5,2.2,負EPS移除
5263,智崴,-2.87,0.94,1.01,負EPS移除
6804,明係,-2.83,1.0,4.03,負EPS移除
1536,和大,-2.71,0.8,1.69,負EPS移除
3055,蔚華科,-2.68,1.0,1.52,負EPS移除
4737,華廣,-2.68,0.999,1.28,負EPS移除
4563,百德,-2.67,3.0,5.25,負EPS移除
1304,台聚,-2.6,0.2,1.85,負EPS移除
5464,霖宏,-2.59,1.0,3.88,負EPS移除
2723,美食-KY,-2.47,3.0,3.53,負EPS移除
1530,亞崴,-2.45,1.532,5.03,負EPS移除
9919,康那香,-2.43,0.2,1.15,負EPS移除
6958,日盛台駿,-2.38,1.0,4.38,負EPS移除
5014,建錩,-2.37,0.303,2.7,負EPS移除
1338,廣華-KY,-2.24,0.775,3.26,負EPS移除
3543,州巧,-2.24,0.5,2.44,負EPS移除
5546,永固-KY,-2.13,2.0,6.57,負EPS移除
7584,樂意,-1.98,4.0,5.79,負EPS移除
1595,川寶,-1.95,0.501,1.63,負EPS移除
6140,訊達,-1.93,1.0,2.4,負EPS移除
4972,湯石照明,-1.84,0.8,3.33,負EPS移除
3527,聚積,-1.84,2.0,2.99,負EPS移除
1308,亞聚,-1.76,0.25,2.01,負EPS移除
4999,鑫禾,-1.68,1.0,4.08,負EPS移除
2231,為升,-1.63,2.074,2.94,負EPS移除
6425,易發,-1.61,1.002,2.2,負EPS移除
5011,久陽,-1.61,0.2,1.81,負EPS移除
1101,台泥,-1.6,1.0,3.82,負EPS移除
4190,佐登-KY,-1.59,0.5,1.4,負EPS移除
1301,台塑,-1.58,0.5,1.4,負EPS移除
1305,華夏,-1.58,0.15,1.29,負EPS移除
6180,橘子,-1.53,6.0,8.2,負EPS移除
6609,瀧澤科,-1.53,0.77,1.82,負EPS移除
6916,華凌,-1.44,0.28,1.41,負EPS移除
5230,雷笛克光學,-1.35,0.512,2.46,負EPS移除
8087,麗升能源,-1.32,1.0,2.91,負EPS移除
8437,大地-KY,-1.29,1.018,5.33,負EPS移除
3373,熱映,-1.27,1.0,4.93,負EPS移除
4909,新復興,-1.25,6.0,8.29,負EPS移除
1321,大洋,-1.25,0.38,1.0,負EPS移除
1313,聯成,-1.17,0.15,1.93,負EPS移除
8215,明基材,-1.14,0.62,2.71,負EPS移除
6988,威力暘-創,-1.13,0.45,2.5,負EPS移除
1454,台富,-1.12,0.25,1.67,負EPS移除
2482,連宇,-1.09,0.61,3.2,負EPS移除
6504,南六,-1.09,1.0,1.99,負EPS移除
6952,大武山,-1.08,2.0,4.02,負EPS移除
1309,台達化,-1.07,0.2,1.72,負EPS移除
2230,泰茂,-1.05,3.0,2.42,負EPS移除
2369,菱生,-1.05,0.3,2.02,負EPS移除
2642,宅配通,-1.04,0.5,1.88,負EPS移除
4510,高鋒,-1.02,0.794,1.76,負EPS移除
1326,台化,-0.99,0.5,2.18,負EPS移除
6578,達邦蛋白,-0.96,0.8,4.06,負EPS移除
6494,九齊,-0.93,2.36,5.96,負EPS移除
6108,競國,-0.88,1.0,6.37,負EPS移除
1445,大宇,-0.87,0.5,2.97,負EPS移除
3354,律勝,-0.84,0.2,1.21,負EPS移除
1324,地球,-0.82,0.2,1.83,負EPS移除
8466,美吉吉-KY,-0.81,1.2,4.22,負EPS移除
6928,攸泰科技,-0.73,0.5,1.04,負EPS移除
1325,恆大,-0.7,0.3,1.01,負EPS移除
1517,利奇,-0.69,0.2,1.88,負EPS移除
4557,永新-KY,-0.67,6.5,5.88,負EPS移除
5220,萬達光電,-0.65,0.5,2.58,負EPS移除
4416,三圓,-0.64,1.0,1.69,負EPS移除
2461,光群雷,-0.61,0.814,4.86,負EPS移除
5202,力新,-0.61,0.5,2.3,負EPS移除
3390,旭軟,-0.55,1.0,4.69,負EPS移除
6243,迅杰,-0.52,1.2,2.75,負EPS移除
9902,台火,-0.47,0.3,1.68,負EPS移除
1236,宏亞,-0.43,0.6,2.74,負EPS移除
4939,亞電,-0.43,0.5,2.55,負EPS移除
1452,宏益,-0.41,0.5,4.27,負EPS移除
2073,雄順,-0.39,0.7,2.43,負EPS移除
3060,銘異,-0.39,0.35,1.71,負EPS移除
3380,明泰,-0.36,1.0,3.59,負EPS移除
1586,和勤,-0.35,0.3,1.11,負EPS移除
4102,永日,-0.34,1.15,4.94,負EPS移除
3591,艾笛森,-0.34,0.739,4.06,負EPS移除
1465,偉全,-0.33,0.6,4.44,負EPS移除
4183,福永生技,-0.33,0.67,3.42,負EPS移除
4528,江興鍛,-0.31,0.2,1.09,負EPS移除
6680,鑫創電子,-0.29,3.049,3.76,負EPS移除
9934,成霖,-0.29,0.35,3.52,負EPS移除
2002,中鋼,-0.29,0.33,1.65,負EPS移除
5392,能率,-0.26,0.65,1.48,負EPS移除
4906,正文,-0.25,1.501,5.75,負EPS移除
6113,亞矽,-0.25,0.5,1.93,負EPS移除
3150,鈺寶-創,-0.22,1.0,4.32,負EPS移除
1711,永光,-0.21,0.3,1.8,負EPS移除
2405,輔信,-0.2,0.17,1.08,負EPS移除
4430,耀億,-0.19,0.5,2.52,負EPS移除
6120,達運,-0.19,0.25,2.37,負EPS移除
9944,新麗,-0.16,0.3,1.78,負EPS移除
6233,旺玖,-0.16,0.359,1.73,負EPS移除
9962,有益,-0.15,0.5,3.65,負EPS移除
1440,南紡,-0.15,0.3,2.28,負EPS移除
5514,三豐,-0.13,0.4,2.16,負EPS移除
1531,高林股,-0.12,0.4,3.17,負EPS移除
8921,沈氏,-0.11,0.22,1.23,負EPS移除
6693,廣閎科,-0.09,2.001,3.41,負EPS移除
3489,森寶,-0.09,0.5,2.38,負EPS移除
5523,豐謙,-0.09,0.5,1.64,負EPS移除
5201,凱衛,-0.06,1.35,3.51,負EPS移除
1235,興泰,-0.03,2.5,3.7,負EPS移除
6167,久正,-0.03,0.2,1.44,負EPS移除
4133,亞諾法,-0.02,0.9,3.08,負EPS移除
