代號,名稱,股價,PER
3056,富華新,14.65,13.69
1713,國化,48.25,12.47
56,元大高股息,40.98,
6016,康和證,17.2,8.69
6606,建德工業,24.6,22.57
1463,強盛新,18.0,138.46
2855,統一證,32.45,10.82
9906,欣巴巴,41.6,462.22
5864,致和證,24.4,9.53
5519,隆大,33.0,6.65
2545,皇翔,36.5,20.39
1446,宏和,16.55,10.22
6026,福邦證,14.8,8.6
6177,達麗,45.75,12.01
6180,橘子,41.9,0.0
2611,志信,14.7,28.27
1475,業旺,28.35,10.42
2520,冠德,31.05,11.9
4420,光明,44.2,7.99
3284,太普高,18.8,8.14
8426,紅木-KY,24.85,13.43
2387,精元,40.35,11.63
5515,建國,41.2,9.2
6021,美好證,28.8,7.66
6216,居易,25.75,43.64
5356,協益,25.9,58.86
2020,美亞,23.15,10.87
2718,全心投控,47.7,2.82
6123,上奇,42.3,15.49
6189,豐藝,47.2,17.29
4306,炎洲,13.7,52.69
6292,迅德,47.9,23.95
9935,慶豐富,19.1,11.58
2851,中再保,29.55,8.07
2852,第一保,26.15,8.96
1307,三芳,31.9,11.19
5547,久舜,21.9,7.16
2109,華豐,14.7,12.67
6212,理銘,28.15,7.11
6248,沛波,20.0,13.07
2916,滿心,46.3,11.69
2527,宏璟,36.7,39.46
2530,華建,22.6,11.13
4550,長佳,24.7,18.43
4735,豪展,30.6,12.44
6294,智基,39.3,14.14
8182,加高,39.05,88.75
6128,上福,21.05,0.0
6171,大城地產,25.95,6.79
2062,橋椿,22.0,56.41
7718,友鋮,48.65,12.97
7705,三商餐飲,34.8,18.13
3209,全科,47.45,15.76
1442,名軒,29.0,9.57
7715,裕山,29.0,9.39
1464,得力,10.55,30.14
6266,泰詠,28.2,14.1
8916,光隆,47.55,19.02
2010,春源,24.95,10.75
6221,晉泰,27.6,11.74
8482,商億-KY,49.8,21.56
8049,晶采,25.7,14.94
8401,白紗科,24.85,9.45
6161,捷波,42.0,15.44
3501,維熹,47.95,15.98
6005,群益證,27.6,10.45
9960,邁達康,27.5,15.71
1473,台南,23.2,40.7
5009,榮剛,31.3,14.23
4995,晶達,42.65,18.96
8930,青鋼,30.25,12.6
1522,堤維西,32.8,18.74
2235,謚源,32.55,34.26
5315,光聯,23.2,12.21
3206,志豐,37.5,18.56
5546,永固-KY,17.15,0.0
4305,世坤,45.0,11.75
1532,勤美,21.8,22.02
4527,方土霖,43.2,12.71
8410,森田,37.1,11.35
1808,潤隆,30.05,20.58
5215,科嘉-KY,38.35,18.8
2937,集雅社,45.1,11.11
3567,逸昌,26.0,24.53
9940,信義,20.1,71.79
2504,國產,35.85,10.86
6108,競國,17.9,0.0
1339,昭輝,41.0,17.01
6754,匯僑設計,47.0,13.78
4440,宜新實業,18.15,15.92
5548,安倉,24.3,11.97
8070,長華*,48.3,47.35
5015,華祺,24.45,407.5
1524,耿鼎,29.55,15.15
9924,福興,45.05,12.73
4720,德淵,22.1,29.86
9933,中鼎,38.5,20.37
6807,峰源-KY,38.6,8.23
7782,光速火箭,29.45,13.83
2528,皇普,24.05,6.81
6671,三能-KY,32.45,13.69
2903,遠百,23.05,14.78
3168,眾福科,46.0,17.29
6115,鎰勝,47.8,16.77
2031,新光鋼,41.0,12.42
2618,長榮航,35.3,7.29
4532,瑞智,24.6,11.77
6184,大豐電,47.55,18.79
2883,凱基金,20.95,12.93
5212,凌網,48.2,10.17
4417,金洲,48.05,7.84
2832,台產,49.0,10.0
8367,建新國際,43.7,11.5
3557,嘉威,31.7,3170.0
3033,威健,34.65,19.25
2433,互盛電,46.0,15.08
4207,環泰,17.65,10.03
6790,永豐實,40.2,13.27
2605,新興,35.65,24.59
6771,平和環保-創,45.3,12.45
3051,力特,20.55,20.15
2432,倚天酷碁-創,28.35,14.92
6418,詠昇,28.9,39.59
2838,聯邦銀,20.9,15.6
1612,宏泰,35.65,12.87
7584,樂意,32.9,0.0
6194,育富,32.95,15.05
4906,正文,37.75,0.0
3426,台興,47.65,20.02
8349,恒耀,45.15,23.39
1104,環泥,29.35,11.46
8928,鉅明,23.0,16.2
2069,運錩,18.5,11.42
3303,岱稜,46.5,10.18
9938,百和,46.35,11.3
3712,永崴投控,19.3,0.0
8481,政伸,42.1,12.95
1457,宜進,15.0,12.71
2414,精技,45.3,14.29
5533,皇鼎,14.65,26.16
2941,米斯特,35.1,14.94
1817,凱撒衛,38.7,10.72
1527,鑽全,33.0,21.71
3646,艾恩特,23.45,41.88
2477,美隆電,24.05,14.32
2542,興富發,34.95,16.64
2495,普安,42.85,37.92
7716,昱臺國際,25.3,11.35
4767,誠泰科技,27.6,22.26
2845,遠東銀,12.65,14.71
1712,興農,42.65,16.4
2362,藍天,38.35,18.62
1102,亞泥,35.7,12.61
2063,世鎧,27.2,15.81
3188,鑫龍騰,26.65,6.58
1583,程泰,48.2,0.0
3046,建碁,49.0,12.22
3031,佰鴻,33.2,30.46
8050,廣積,42.15,29.27
1708,東鹼,39.35,12.0
1570,力肯,32.8,55.59
2887,台新新光金,24.3,17.11
1109,信大,15.5,15.05
1593,祺驊,33.4,15.32
1451,年興,17.3,9.83
1604,聲寶,23.8,14.0
1702,南僑,36.7,32.77
8163,達方,28.15,55.2
2904,匯僑,16.7,17.04
4952,凌通,42.5,41.26
2897,王道銀行,10.2,17.0
1540,喬福,22.0,19.82
2107,厚生,26.05,15.6
4930,燦星網,19.2,32.0
8437,大地-KY,12.5,0.0
2012,春雨,16.0,80.0
9946,三發地產,16.8,11.05
3118,進階,33.45,13.6
2617,台航,31.05,9.76
2450,神腦,30.25,17.59
4935,茂林-KY,38.35,28.62
4563,百德,40.7,0.0
6474,華豫寧,36.85,10.56
4432,銘旺實,15.05,17.1
3556,禾瑞亞,48.1,22.37
4535,至興,28.25,21.73
5410,國眾,32.4,13.79
3038,全台,23.4,21.08
8422,可寧衛*,29.45,23.01
1616,億泰,23.65,15.26
2029,盛餘,20.6,27.84
9905,大華,21.8,16.77
2538,基泰,10.1,28.86
2501,國建,24.45,8.64
1731,美吾華,21.85,16.07
4942,嘉彰,38.45,12.57
4173,久裕,19.65,16.94
5878,台名,41.05,14.35
2115,六暉-KY,21.7,13.73
3306,鼎天,47.45,24.33
2065,世豐,30.75,27.46
9907,統一實,18.0,13.24
4161,聿新科,24.2,19.67
2105,正新,32.65,21.77
4545,銘鈺,31.4,184.71
5604,中連,34.5,40.59
6195,詩肯,24.5,24.75
1108,幸福,14.9,6.83
5213,亞昕,26.65,8.71
3537,堡達,46.1,18.37
1530,亞崴,28.35,0.0
3669,圓展,39.35,34.82
2801,彰銀,21.6,14.3
2820,華票,17.2,12.84
2948,寶陞,39.1,18.27
9931,欣高,36.0,14.69
6470,宇智,47.7,12.33
3114,好德,26.45,11.91
1220,台榮,12.8,160.0
6506,雙邦,16.95,16.3
3346,麗清,18.45,167.73
6432,今展科,40.7,84.79
1402,遠東新,26.3,18.01
5538,東明-KY,32.0,10.6
4102,永日,19.05,0.0
3373,熱映,17.05,0.0
2834,臺企銀,16.3,12.94
1611,中電,12.2,406.67
2836,高雄銀,12.2,17.94
8183,精星,36.85,15.42
6482,弘煜科,31.7,13.66
2461,光群雷,17.55,0.0
3266,昇陽,14.15,24.4
5353,台林,25.0,18.12
9904,寶成,27.9,6.8
2890,永豐金,32.7,17.87
2353,宏碁,28.7,22.78
4754,國碳科,37.35,13.01
3221,台嘉碩,44.4,555.0
1336,台翰,14.15,19.93
6743,安普新,22.9,32.25
2812,台中銀,20.55,13.7
4533,協易機,31.65,158.25
9925,新保,40.75,17.19
5525,順天,25.25,18.04
6151,晉倫,35.55,30.65
3512,皇龍,22.0,9.02
2030,彰源,16.5,47.14
3490,單井,29.0,580.0
6136,富爾特,24.45,27.47
1434,福懋,16.8,32.94
2547,日勝生,10.85,3.88
1568,倉佑,25.35,18.64
1735,日勝化,29.3,37.56
3607,谷崧,15.5,775.0
2915,潤泰全,45.2,4.98
1470,大統新創,23.0,29.49
8926,台汽電,45.2,18.45
2034,允強,21.0,100.0
2430,燦坤,21.75,31.52
3390,旭軟,24.25,0.0
5465,富驊,26.0,20.16
6242,立康,38.0,14.39
1734,杏輝,32.15,16.74
6015,宏遠證,13.0,17.11
1615,大山,47.55,9.89
4153,鈺緯,32.0,20.78
2221,大甲,32.15,13.92
2880,華南金,36.15,19.03
8440,綠電,22.65,73.06
5603,陸海,16.8,42.0
2106,建大,18.6,143.08
8423,保綠-KY,18.3,25.07
8476,台境*,18.2,34.34
2013,中鋼構,44.05,13.81
2066,世德,46.3,34.55
7732,金興精密,35.0,19.89
2608,嘉里大榮,30.85,15.66
1234,黑松,36.2,18.1
3484,崧騰,46.0,10.77
1539,巨庭,16.45,78.33
5016,松和,30.6,20.4
1776,展宇,16.15,57.68
4568,科際精密,41.5,20.65
6270,倍微,25.15,23.29
6910,德鴻,29.4,14.7
4554,橙的,29.9,14.1
4111,濟生,29.3,10.65
3703,欣陸,21.85,12.14
1465,偉全,12.7,0.0
6662,樂斯科,30.4,18.31
4907,富宇,39.75,32.32
1563,巧新,42.8,29.72
8415,大國鋼,33.7,11.05
1416,廣豐,11.7,14.44
6958,日盛台駿,19.9,0.0
3071,協禧,30.15,52.89
6641,基士德-KY,18.45,40.11
1752,南光,35.55,14.69
1709,和益,18.95,15.41
6936,永鴻生技,35.7,20.17
4114,健喬,31.95,19.25
4401,東隆興,14.8,20.27
3150,鈺寶-創,19.2,0.0
4552,力達-KY,21.2,10.24
2908,特力,20.3,88.26
8463,潤泰材,23.1,12.49
2392,正崴,36.6,0.0
6158,禾昌,18.3,166.36
1227,佳格,30.75,23.12
7780,大研生醫*,20.35,48.45
1452,宏益,12.0,0.0
5328,華容,26.9,68.97
3492,長盛,23.6,13.33
1323,永裕,21.0,80.77
8466,美吉吉-KY,17.75,0.0
8034,榮群,25.4,17.89
2352,佳世達,25.65,35.63
5489,彩富,41.05,20.42
1437,勤益控,30.5,12.6
6697,東捷資訊,41.1,13.52
2539,櫻花建,46.7,13.5
1725,元禎,31.0,20.26
3287,廣寰科,29.25,19.5
8213,志超,36.6,16.12
55,元大MSCI金融,33.43,
3052,夆典,11.05,10.05
4999,鑫禾,21.1,0.0
3002,歐格,19.05,52.92
6229,研通,25.2,504.0
3591,艾笛森,24.75,0.0
6578,達邦蛋白,17.75,0.0
5206,坤悅,25.15,7.31
6804,明係,16.6,0.0
8354,冠好,16.05,114.64
6952,大武山,40.5,0.0
2748,雲品,41.5,19.12
8927,北基,23.15,66.14
5276,達輝-KY,15.5,13.6
4584,君帆,41.8,12.19
8076,伍豐,23.35,166.79
2534,宏盛,19.9,9.66
3285,微端,28.2,40.29
6156,松上,20.75,46.11
6186,新潤,40.65,5.2
6835,圓裕,38.35,39.54
6154,順發,13.25,25.98
4116,明基醫,41.0,23.43
2892,第一金,28.8,15.4
1737,臺鹽,32.2,16.1
1733,五鼎,29.6,18.16
6962,奕力-KY,35.0,12.64
2906,高林,13.0,27.66
5464,霖宏,30.0,0.0
5876,上海商銀,39.85,13.02
9918,欣天然,43.6,27.08
2356,英業達,45.75,18.9
8923,時報,19.85,20.68
6666,羅麗芬-KY,41.6,17.19
2506,太設,8.98,449.0
5880,合庫金,23.9,17.57
6509,聚和,44.25,15.42
2324,仁寶,30.35,21.99
9908,大台北,29.85,17.35
9926,新海,50.0,18.66
1101,台泥,25.1,0.0
2201,裕隆,26.75,29.08
1521,大億,25.35,29.14
2910,統領,22.75,18.5
2884,玉山金,32.75,15.45
1409,新纖,16.7,13.92
8931,大汽電,42.4,22.67
1722,台肥,45.65,48.05
1103,嘉泥,14.0,16.67
2945,三商家購,42.3,19.77
2886,兆豐金,39.5,16.74
1229,聯華,44.4,17.28
1608,華榮,33.15,6.03
1235,興泰,45.2,0.0
2889,國票金,15.2,24.13
1603,華電,32.8,10.06
2633,台灣高鐵,27.0,23.08
6508,惠光,26.05,96.48
9962,有益,10.05,0.0
8403,盛弘,22.2,21.55
2610,華航,18.3,7.56
4543,萬在,37.5,70.75
3380,明泰,41.55,0.0
8908,欣雄,41.75,19.33
3164,景岳,17.95,27.2
4106,雃博,22.5,18.75
6570,維田,39.85,30.89
5902,德記,38.5,17.19
2302,麗正,19.4,39.59
9934,成霖,9.63,0.0
2103,台橡,19.05,35.28
9945,潤泰新,24.65,6.52
5201,凱衛,39.1,0.0
3050,鈺德,13.15,328.75
4433,興采,20.7,19.53
5450,南良,13.9,63.18
4183,福永生技,15.2,0.0
2323,中環,10.75,6.8
4560,強信-KY,33.55,11.11
1907,永豐餘,25.55,21.47
3531,先益,22.75,75.83
6971,惠民實業,29.5,12.19
1515,力山,23.15,23.87
4972,湯石照明,16.95,0.0
6843,進典,46.85,21.3
3597,映興,24.7,72.65
4711,永純,15.3,102.0
2462,良得電,22.75,84.26
1219,福壽,14.3,31.78
2027,大成鋼,37.6,13.24
7743,金利食安,20.25,35.53
4123,晟德,40.4,3.28
4160,訊聯基因,44.7,55.88
1338,廣華-KY,16.05,0.0
8942,森鉅,44.85,24.51
8905,裕國,40.55,66.48
6220,岳豐,33.4,41.23
2596,綠意,32.3,17.37
2489,瑞軒,44.65,34.35
6259,百徽,23.4,33.43
2482,連宇,17.7,0.0
1531,高林股,13.1,0.0
1617,榮星,15.75,23.16
5471,松翰,41.2,57.22
1217,愛之味,10.4,24.76
2484,希華,42.4,65.23
5244,弘凱,46.2,90.59
3438,類比科,46.55,46.55
1618,合機,39.05,9.28
2511,太子,8.13,24.64
1201,味全,13.4,33.5
2108,南帝,26.05,31.39
4133,亞諾法,22.5,0.0
1233,天仁,29.5,39.33
4763,材料*-KY,47.15,7.73
5457,宣德,38.15,13.77
3024,憶聲,10.95,39.11
2613,中櫃,23.0,20.18
3312,弘憶股,42.7,27.03
3434,哲固,30.9,65.74
1445,大宇,13.1,0.0
4109,加捷生醫,12.6,29.3
2515,中工,13.85,34.63
4911,德英,37.35,17.13
1203,味王,43.4,23.98
2312,金寶,24.55,23.61
6148,驊宏資,33.0,24.26
8087,麗升能源,35.45,0.0
7723,築間,34.45,0.0
5607,遠雄港,48.15,17.38
4164,承業醫,31.15,32.79
5438,東友,19.25,37.75
3128,昇銳,24.65,18.67
5013,強新,30.1,20.76
6243,迅杰,30.95,0.0
2849,安泰銀,14.1,17.85
6126,信音,33.25,46.83
6722,輝創,40.0,13.79
1236,宏亞,26.9,0.0
6614,資拓宏宇,41.0,21.58
6884,海柏特,35.0,17.07
8215,明基材,29.25,0.0
1584,精剛,21.15,48.07
5014,建錩,10.2,0.0
4561,健椿,36.65,55.53
6020,大展證,19.15,49.1
2328,廣宇,45.6,29.23
9105,泰金寶-DR,5.6,
1449,佳和,14.4,130.91
6763,綠界科技*,48.6,11.54
8941,關中,45.05,38.84
5220,萬達光電,20.25,0.0
8162,微矽電子-創,43.15,27.48
1904,正隆,18.6,25.14
4939,亞電,41.15,0.0
2706,第一店,12.7,19.54
2409,友達,19.85,21.81
1714,和桐,9.63,19.26
4430,耀億,17.45,0.0
4706,大恭,32.45,92.71
6988,威力暘-創,14.85,0.0
4707,磐亞,15.05,16.91
2701,萬企,10.95,19.55
5230,雷笛克光學,18.25,0.0
2641,正德,18.2,9.05
3543,州巧,42.45,0.0
4729,熒茂,20.5,128.13
2073,雄順,26.9,0.0
2230,泰茂,30.25,0.0
7753,星亞,39.55,9.37
6140,訊達,18.75,0.0
1605,華新,32.3,44.86
6865,偉康科技,36.3,23.88
3489,森寶,23.7,0.0
6120,達運,14.8,0.0
1609,大亞,34.55,20.94
2905,三商,14.5,20.14
4119,旭富,48.55,53.94
1453,大將,12.15,303.75
5202,力新,14.15,0.0
8473,山林水,37.4,14.67
2427,三商電,22.25,14.54
3441,聯一光,32.4,30.57
1440,南紡,13.2,0.0
6730,常廣,39.0,18.22
5278,尚凡*,23.65,22.52
8032,光菱,36.95,16.87
4538,大詠城,18.9,65.17
1598,岱宇,20.65,0.0
1225,福懋油,33.3,20.56
4148,全宇生技-KY,38.0,16.67
3652,精聯,28.0,20.9
5514,三豐,15.9,0.0
4167,松瑞藥,19.9,11.57
8072,陞泰,29.6,
1423,利華,40.4,9.27
6235,華孚,45.7,15.76
2070,精湛,45.65,19.85
2008,高興昌,27.4,40.29
6174,安碁,27.5,41.67
5512,力麒,7.84,49.0
1789,神隆,21.9,128.82
2369,菱生,30.6,0.0
6806,森崴能源,24.65,0.0
2616,山隆,15.45,0.0
1308,亞聚,15.25,0.0
3236,千如,35.25,110.16
6504,南六,41.45,0.0
6908,宏碁遊戲-創,41.55,28.85
5906,台南-KY,49.3,50.31
6244,茂迪,28.8,205.71
6185,幃翔,14.05,63.86
3232,昱捷,22.6,77.93
3465,進泰電子,34.2,855.0
1313,聯成,12.2,0.0
1541,錩泰,25.2,10.86
6113,亞矽,22.9,0.0
2642,宅配通,23.0,0.0
3594,磐儀,47.0,95.92
1783,和康生,41.75,14.1
1517,利奇,11.2,0.0
3059,華晶科,37.65,30.61
1304,台聚,14.55,0.0
1324,地球,11.25,0.0
4744,皇將,32.0,12.75
6609,瀧澤科,38.8,0.0
5011,久陽,14.65,0.0
6179,亞通,24.4,488.0
1711,永光,47.95,0.0
2630,亞航,49.3,49.3
4155,訊映,13.4,23.51
9944,新麗,16.7,0.0
4120,友華,47.35,0.0
4510,高鋒,47.05,0.0
6968,萬達寵物,46.6,18.94
2365,昆盈,34.9,109.06
6233,旺玖,25.95,0.0
1309,台達化,19.6,0.0
2536,宏普,22.35,7.01
3060,銘異,30.25,0.0
4416,三圓,15.1,0.0
6603,富強鑫,25.45,41.72
9902,台火,14.8,0.0
1454,台富,13.3,0.0
2002,中鋼,20.1,0.0
5523,豐謙,30.5,0.0
6234,高僑,32.95,659.0
3021,鴻名,16.4,49.7
1110,東泥,15.85,44.03
4130,健亞,32.5,325.0
1587,吉茂,34.4,92.97
3040,遠見,44.7,144.19
1809,中釉,27.2,143.16
8110,華東,48.3,19.71
8289,泰藝,49.65,1241.25
1614,三洋電,32.3,33.3
2468,華經,34.9,27.92
5392,能率,39.0,0.0
6272,驊陞,32.55,10.64
8222,寶一,37.85,68.82
1410,南染,30.8,52.2
6167,久正,14.2,0.0
2901,欣欣,23.55,61.97
6916,華凌,18.9,0.0
4190,佐登-KY,27.0,0.0
4555,氣立,41.05,205.25
2483,百容,22.95,38.25
3564,其陽,42.65,65.62
3615,安可,34.9,42.56
6692,進能服,32.05,139.35
1305,華夏,14.9,0.0
1810,和成,18.5,370.0
8921,沈氏,17.0,0.0
3516,亞帝歐,19.95,73.89
3354,律勝,28.15,0.0
4556,旭然,32.75,35.6
2704,國賓,43.35,76.05
2331,精英,21.8,15.46
9919,康那香,14.8,0.0
1414,東和,16.55,78.81
6165,浪凡,45.2,10.94
1586,和勤,22.75,0.0
4528,江興鍛,17.15,0.0
2405,輔信,15.75,0.0
3704,合勤控,37.45,24.16
6112,邁達特,48.05,26.4
3379,彬台,37.3,17.59
2923,鼎固-KY,28.0,0.0
3226,龍鋒,39.85,166.04
6928,攸泰科技,48.8,0.0
3141,晶宏,44.2,81.85
5452,佶優,34.15,103.48
6477,安集,34.45,1722.5
4413,飛寶企業,18.2,34.34
1325,恆大,27.05,0.0
1439,雋揚,27.55,8.58
1321,大洋,32.7,0.0
